ticker,earnings_date
AAPL,2024-04-30
AAPL,2024-08-01
AAPL,2024-10-31
AAPL,2025-02-06
AAPL,2023-04-27
AAPL,2023-08-03
AAPL,2023-10-26
AAPL,2024-02-01
AAPL,2022-04-28
AAPL,2022-07-28
AAPL,2022-10-27
AAPL,2023-02-02
AAPL,2021-04-29
AAPL,2021-07-29
AAPL,2021-10-28
AAPL,2022-02-03
AAPL,2020-04-30
AAPL,2020-07-30
AAPL,2020-10-29
AAPL,2021-02-02
AAPL,2019-04-25
AAPL,2019-07-25
AAPL,2019-10-24
AAPL,2020-01-30
AMZN,2024-05-01
AMZN,2024-08-01
AMZN,2024-10-31
AMZN,2025-02-06
AMZN,2023-04-27
AMZN,2023-08-03
AMZN,2023-10-26
AMZN,2024-02-01
AMZN,2022-04-28
AMZN,2022-07-28
AMZN,2022-10-27
AMZN,2023-02-02
AMZN,2021-04-29
AMZN,2021-07-29
AMZN,2021-10-28
AMZN,2022-02-03
AMZN,2020-04-30
AMZN,2020-07-30
AMZN,2020-10-29
AMZN,2021-02-02
AMZN,2019-04-25
AMZN,2019-07-25
AMZN,2019-10-24
AMZN,2020-01-30
TSLA,2024-04-23
TSLA,2024-07-23
TSLA,2024-10-23
TSLA,2025-01-22
TSLA,2023-04-19
TSLA,2023-07-19
TSLA,2023-10-18
TSLA,2024-01-24
TSLA,2022-04-20
TSLA,2022-07-20
TSLA,2022-10-19
TSLA,2023-01-25
TSLA,2021-04-26
TSLA,2021-07-26
TSLA,2021-10-20
TSLA,2022-01-26
TSLA,2020-04-29
TSLA,2020-07-22
TSLA,2020-10-21
TSLA,2021-01-27
TSLA,2019-04-24
TSLA,2019-07-24
TSLA,2019-10-23
TSLA,2020-01-29
GOOG,2024-04-25
GOOG,2024-07-23
GOOG,2024-10-24
GOOG,2025-02-04
GOOG,2023-04-25
GOOG,2023-07-25
GOOG,2023-10-24
GOOG,2024-01-30
GOOG,2022-04-26
GOOG,2022-07-26
GOOG,2022-10-25
GOOG,2023-02-02
GOOG,2021-04-27
GOOG,2021-07-27
GOOG,2021-10-26
GOOG,2022-02-01
GOOG,2020-04-28
GOOG,2020-07-30
GOOG,2020-10-29
GOOG,2021-02-02
GOOG,2019-04-29
GOOG,2019-07-25
GOOG,2019-10-28
GOOG,2020-02-03
MSFT,2023-10-24
MSFT,2024-01-30
MSFT,2024-04-25
MSFT,2024-07-30
MSFT,2022-10-25
MSFT,2023-01-24
MSFT,2023-04-25
MSFT,2023-07-25
MSFT,2021-10-26
MSFT,2022-01-25
MSFT,2022-04-26
MSFT,2022-07-26
MSFT,2020-10-27
MSFT,2021-01-26
MSFT,2021-04-27
MSFT,2021-07-27
MSFT,2019-10-23
MSFT,2020-01-29
MSFT,2020-04-29
MSFT,2020-07-22
MSFT,2018-10-24
MSFT,2019-01-30
MSFT,2019-04-24
MSFT,2019-07-18
META,2024-04-24
META,2024-07-31
META,2024-10-30
META,2025-01-29
META,2023-04-26
META,2023-07-26
META,2023-10-25
META,2024-02-01
META,2022-04-27
META,2022-07-27
META,2022-10-26
META,2023-02-01
META,2021-04-28
META,2021-07-28
META,2021-10-25
META,2022-02-02
META,2020-04-29
META,2020-07-30
META,2020-10-29
META,2021-01-27
META,2019-04-24
META,2019-07-24
META,2019-10-30
META,2020-01-29
